person_id,name,age,gender,role,city,risk_score
P0047,Person_0047,28,F,Victim,Lucknow,0.498
P0048,Person_0048,21,M,Victim,Lucknow,0.052
P0049,Person_0049,47,F,Suspect,Lucknow,0.698
P0050,Person_0050,53,F,Witness,Mumbai,0.227
P0051,Person_0051,21,M,Suspect,Kolkata,0.342
P0052,Person_0052,48,M,Suspect,Delhi,0.944
P0053,Person_0053,29,M,Suspect,Pune,0.113
P0054,Person_0054,43,M,Victim,Pune,0.279
P0055,Person_0055,57,M,Known_Criminal,Lucknow,0.661
P0056,Person_0056,38,F,Known_Criminal,Mumbai,0.673
P0057,Person_0057,34,F,Suspect,Mumbai,0.675
P0058,Person_0058,38,M,Suspect,Delhi,0.476
P0059,Person_0059,24,M,Associate,Pune,0.248
P0060,Person_0060,40,M,Suspect,Mumbai,0.394
P0061,Person_0061,52,F,Suspect,Pune,0.965
P0062,Person_0062,51,M,Victim,Kolkata,0.81
P0063,Person_0063,60,M,Suspect,Mumbai,0.296
P0064,Person_0064,65,M,Victim,Jaipur,0.312
P0065,Person_0065,39,M,Suspect,Kolkata,0.64
P0066,Person_0066,49,F,Suspect,Delhi,0.136
P0067,Person_0067,35,M,Suspect,Delhi,0.36
P0068,Person_0068,34,M,Suspect,Kolkata,0.461
P0069,Person_0069,53,M,Witness,Delhi,0.12
P0070,Person_0070,27,M,Victim,Jaipur,0.592
P0071,Person_0071,26,M,Suspect,Jaipur,0.389
P0072,Person_0072,20,F,Associate,Mumbai,0.684
P0073,Person_0073,40,F,Known_Criminal,Pune,0.747
P0074,Person_0074,33,M,Associate,Mumbai,0.87
P0075,Person_0075,65,F,Suspect,Lucknow,0.796
P0076,Person_0076,33,F,Victim,Mumbai,0.782
P0077,Person_0077,20,F,Suspect,Mumbai,0.236
P0078,Person_0078,40,F,Associate,Mumbai,0.257
P0079,Person_0079,43,F,Known_Criminal,Jaipur,0.854
P0080,Person_0080,35,F,Associate,Kolkata,0.524
P0081,Person_0081,52,F,Known_Criminal,Delhi,0.157
P0082,Person_0082,29,F,Associate,Delhi,0.151
P0083,Person_0083,64,F,Suspect,Lucknow,0.614
P0084,Person_0084,42,M,Known_Criminal,Jaipur,0.091
P0085,Person_0085,51,M,Suspect,Jaipur,0.451
P0086,Person_0086,39,F,Associate,Kolkata,0.839
P0087,Person_0087,37,F,Witness,Kolkata,0.43
P0088,Person_0088,36,M,Suspect,Mumbai,0.441
P0089,Person_0089,61,M,Associate,Pune,0.579
P0090,Person_0090,18,F,Suspect,Jaipur,0.245
P0091,Person_0091,56,F,Witness,Lucknow,0.461
P0092,Person_0092,50,F,Known_Criminal,Kolkata,0.208
P0093,Person_0093,50,F,Suspect,Delhi,0.811
P0094,Person_0094,61,F,Witness,Mumbai,0.8
P0095,Person_0095,20,M,Suspect,Lucknow,0.618
P0096,Person_0096,47,F,Witness,Kolkata,0.585
P0097,Person_0097,42,F,Witness,Lucknow,0.277
P0098,Person_0098,18,M,Known_Criminal,Lucknow,0.254
P0099,Person_0099,62,F,Victim,Delhi,0.568
P0100,Person_0100,25,F,Associate,Mumbai,0.795
P0101,Person_0101,53,F,Known_Criminal,Lucknow,0.62
P0102,Person_0102,50,F,Witness,Pune,0.465
P0103,Person_0103,48,F,Suspect,Jaipur,0.749
P0104,Person_0104,35,F,Victim,Kolkata,0.272
P0105,Person_0105,63,F,Suspect,Mumbai,0.303
P0106,Person_0106,52,M,Suspect,Mumbai,0.19
P0107,Person_0107,27,M,Suspect,Delhi,0.436
P0108,Person_0108,47,F,Suspect,Delhi,0.242
P0109,Person_0109,55,M,Suspect,Pune,0.404
P0110,Person_0110,40,F,Suspect,Lucknow,0.844
P0111,Person_0111,44,M,Associate,Lucknow,0.254
P0112,Person_0112,19,F,Suspect,Jaipur,0.672
P0113,Person_0113,64,M,Witness,Lucknow,0.905
P0114,Person_0114,52,M,Associate,Lucknow,0.6
P0115,Person_0115,23,F,Known_Criminal,Mumbai,0.856
P0116,Person_0116,34,F,Suspect,Jaipur,0.247
P0117,Person_0117,42,F,Suspect,Lucknow,0.285
P0118,Person_0118,19,M,Suspect,Jaipur,0.259
P0119,Person_0119,59,M,Suspect,Delhi,0.933
P0120,Person_0120,19,M,Suspect,Mumbai,0.167
P0121,Person_0121,54,M,Known_Criminal,Lucknow,0.701
P0122,Person_0122,28,M,Witness,Mumbai,0.947
P0123,Person_0123,19,F,Suspect,Pune,0.68
P0124,Person_0124,43,M,Associate,Delhi,0.601
P0125,Person_0125,33,M,Victim,Kolkata,0.768
P0126,Person_0126,56,M,Victim,Pune,0.778
P0127,Person_0127,45,F,Suspect,Delhi,0.521
P0128,Person_0128,44,F,Suspect,Delhi,0.453
P0129,Person_0129,47,M,Suspect,Lucknow,0.214
P0130,Person_0130,59,F,Known_Criminal,Pune,0.802
P0131,Person_0131,48,F,Known_Criminal,Lucknow,0.818
P0132,Person_0132,38,M,Known_Criminal,Delhi,0.309
P0133,Person_0133,47,F,Known_Criminal,Jaipur,0.077
P0134,Person_0134,29,F,Victim,Mumbai,0.38
P0135,Person_0135,35,F,Suspect,Pune,0.059
P0136,Person_0136,23,M,Associate,Kolkata,0.428
P0137,Person_0137,33,F,Known_Criminal,Kolkata,0.712
P0138,Person_0138,19,M,Suspect,Jaipur,0.256
P0139,Person_0139,37,F,Known_Criminal,Lucknow,0.565
P0140,Person_0140,65,F,Suspect,Jaipur,0.704
P0141,Person_0141,34,M,Suspect,Delhi,0.721
P0142,Person_0142,65,M,Suspect,Mumbai,0.251
P0143,Person_0143,64,F,Known_Criminal,Delhi,0.824
P0144,Person_0144,41,M,Suspect,Jaipur,0.063
P0145,Person_0145,35,M,Known_Criminal,Delhi,0.565
P0146,Person_0146,26,F,Known_Criminal,Delhi,0.862
P0147,Person_0147,48,F,Known_Criminal,Lucknow,0.367
P0148,Person_0148,34,F,Associate,Delhi,0.815
P0149,Person_0149,22,M,Suspect,Mumbai,0.189
P0150,Person_0150,37,M,Known_Criminal,Mumbai,0.16
P0151,Person_0151,56,M,Witness,Pune,0.404
P0152,Person_0152,37,F,Associate,Jaipur,0.579
P0153,Person_0153,65,M,Suspect,Mumbai,0.632
P0154,Person_0154,23,M,Suspect,Mumbai,0.212
P0155,Person_0155,18,F,Suspect,Lucknow,0.691
P0156,Person_0156,20,M,Known_Criminal,Jaipur,0.707
P0157,Person_0157,47,M,Witness,Kolkata,0.267
P0158,Person_0158,58,M,Suspect,Lucknow,0.157
P0159,Person_0159,27,F,Suspect,Mumbai,0.116
P0160,Person_0160,37,F,Suspect,Lucknow,0.166
P0161,Person_0161,62,F,Known_Criminal,Jaipur,0.515
P0162,Person_0162,23,M,Known_Criminal,Lucknow,0.733
P0163,Person_0163,19,M,Known_Criminal,Mumbai,0.945
P0164,Person_0164,54,M,Victim,Kolkata,0.814
P0165,Person_0165,29,F,Known_Criminal,Pune,0.656
P0166,Person_0166,29,F,Associate,Kolkata,0.807
P0167,Person_0167,48,F,Associate,Lucknow,0.36
P0168,Person_0168,28,F,Known_Criminal,Lucknow,0.695
P0169,Person_0169,43,M,Suspect,Lucknow,0.132
P0170,Person_0170,25,F,Suspect,Pune,0.817
P0171,Person_0171,52,F,Suspect,Lucknow,0.1
P0172,Person_0172,57,F,Known_Criminal,Kolkata,0.461
P0173,Person_0173,35,M,Suspect,Jaipur,0.457
P0174,Person_0174,25,M,Known_Criminal,Kolkata,0.616
P0175,Person_0175,28,F,Suspect,Pune,0.063
P0176,Person_0176,32,M,Suspect,Lucknow,0.931
P0177,Person_0177,27,F,Known_Criminal,Kolkata,0.321
P0178,Person_0178,44,F,Witness,Lucknow,0.277
P0179,Person_0179,42,M,Known_Criminal,Pune,0.523
P0180,Person_0180,22,F,Victim,Lucknow,0.366
P0181,Person_0181,35,M,Witness,Jaipur,0.725
P0182,Person_0182,55,F,Victim,Mumbai,0.465
P0183,Person_0183,39,F,Known_Criminal,Lucknow,0.918
P0184,Person_0184,62,M,Victim,Pune,0.406
P0185,Person_0185,44,M,Victim,Jaipur,0.743
P0186,Person_0186,42,F,Witness,Kolkata,0.787
P0187,Person_0187,27,F,Known_Criminal,Delhi,0.167
P0188,Person_0188,39,M,Associate,Lucknow,0.143
P0189,Person_0189,18,M,Associate,Lucknow,0.86
P0190,Person_0190,22,F,Associate,Jaipur,0.365
P0191,Person_0191,59,M,Known_Criminal,Jaipur,0.843
P0192,Person_0192,42,F,Victim,Kolkata,0.718
P0193,Person_0193,52,M,Witness,Pune,0.114
P0194,Person_0194,36,M,Known_Criminal,Kolkata,0.134
P0195,Person_0195,58,M,Associate,Lucknow,0.205
P0196,Person_0196,19,M,Suspect,Jaipur,0.79
P0197,Person_0197,41,F,Suspect,Mumbai,0.277
P0198,Person_0198,61,M,Suspect,Mumbai,0.213
P0199,Person_0199,42,M,Known_Criminal,Lucknow,0.899
P0200,Person_0200,47,F,Suspect,Lucknow,0.287
  
