evidence_id,case_id,person_id,evidence_type,confidence,timestamp
EV0362,C0144,P0041,Location_Data,0.244,2024-06-23
EV0363,C0127,P0152,Vehicle_Record,0.687,2024-12-23
EV0364,C0073,P0083,Phone_Record,0.222,2023-04-03
EV0365,C0033,P0094,Bank_Transaction,0.84,2026-04-10
EV0366,C0007,P0196,Witness_Statement,0.47,2023-07-19
EV0367,C0110,P0089,Bank_Transaction,0.525,2023-04-26
EV0368,C0063,P0064,CCTV,0.712,2023-06-23
EV0369,C0017,P0079,Phone_Record,0.467,2023-02-10
EV0370,C0138,P0084,Phone_Record,0.564,2025-05-15
EV0371,C0146,P0132,Vehicle_Record,0.411,2025-08-19
EV0372,C0006,P0082,Vehicle_Record,0.651,2024-10-22
EV0373,C0147,P0026,Vehicle_Record,0.279,2024-02-26
EV0374,C0087,P0128,Location_Data,0.841,2024-11-26
EV0375,C0043,P0158,Bank_Transaction,0.487,2025-06-11
EV0376,C0052,P0128,Witness_Statement,0.869,2023-06-04
EV0377,C0138,P0055,Bank_Transaction,0.409,2024-08-31
EV0378,C0147,P0103,CCTV,0.693,2023-07-08
EV0379,C0149,P0025,Location_Data,0.466,2023-05-18
EV0380,C0146,P0136,Vehicle_Record,0.537,2024-12-12
EV0381,C0020,P0167,Bank_Transaction,0.599,2024-09-06
EV0382,C0111,P0170,Location_Data,0.448,2025-04-28
EV0383,C0103,P0065,Location_Data,0.607,2026-01-26
EV0384,C0047,P0005,Witness_Statement,0.756,2024-01-18
EV0385,C0148,P0128,CCTV,0.722,2025-08-15
EV0386,C0069,P0164,Location_Data,0.839,2025-06-07
EV0387,C0145,P0187,Witness_Statement,0.247,2024-02-15
EV0388,C0094,P0119,CCTV,0.39,2024-09-06
EV0389,C0112,P0106,Bank_Transaction,0.88,2023-05-12
EV0390,C0053,P0106,Bank_Transaction,0.851,2023-11-25
EV0391,C0066,P0176,Location_Data,0.387,2024-05-03
EV0392,C0030,P0039,CCTV,0.222,2024-09-27
EV0393,C0119,P0125,Location_Data,0.983,2025-05-14
EV0394,C0010,P0052,CCTV,0.415,2023-03-01
EV0395,C0067,P0072,Witness_Statement,0.635,2023-03-28
EV0396,C0125,P0006,Phone_Record,0.879,2023-06-21
EV0397,C0081,P0155,Bank_Transaction,0.885,2025-04-13
EV0398,C0094,P0172,Witness_Statement,0.9,2025-03-23
EV0399,C0036,P0061,Phone_Record,0.651,2025-10-21
EV0400,C0031,P0134,Witness_Statement,0.855,2025-12-11
