edge_id,source_id,target_id,relationship,strength,first_seen,interaction_count
E0125,P0184,P0199,vehicle_shared,0.133,2024-02-17,6
E0126,P0052,P0011,co_location,0.94,2025-11-21,51
E0127,P0140,P0122,co_location,0.133,2024-01-27,37
E0128,P0092,P0200,phone_contact,0.879,2024-11-10,35
E0129,P0032,P0095,vehicle_shared,0.901,2025-06-19,50
E0130,P0087,P0048,vehicle_shared,0.723,2025-01-22,67
E0131,P0069,P0022,family,0.482,2025-05-31,78
E0132,P0047,P0140,co_location,0.389,2023-06-13,42
E0133,P0170,P0076,co_location,0.501,2025-05-22,22
E0134,P0177,P0114,co_location,0.502,2024-12-23,79
E0135,P0112,P0071,family,0.982,2023-04-28,10
E0136,P0172,P0164,vehicle_shared,0.427,2023-11-24,4
E0137,P0037,P0156,family,0.803,2023-03-13,17
E0138,P0018,P0061,known_associate,0.681,2025-01-11,50
E0139,P0146,P0009,social_connection,0.238,2025-07-10,48
E0140,P0096,P0114,known_associate,0.169,2023-10-09,68
E0141,P0094,P0102,co_location,0.685,2024-05-26,15
E0142,P0007,P0189,financial_transfer,0.549,2025-03-03,72
E0143,P0031,P0068,known_associate,0.334,2025-07-02,28
E0144,P0157,P0074,family,0.925,2025-10-02,26
E0145,P0032,P0035,known_associate,0.167,2023-12-20,57
E0146,P0023,P0175,known_associate,0.988,2024-12-12,9
E0147,P0141,P0139,co_location,0.902,2023-11-19,23
E0148,P0093,P0131,financial_transfer,0.209,2024-02-16,18
E0149,P0061,P0127,phone_contact,0.425,2026-03-18,48
E0150,P0120,P0142,financial_transfer,0.651,2023-06-26,9
E0151,P0080,P0102,family,0.747,2025-12-12,53
E0152,P0197,P0105,known_associate,0.617,2023-09-14,41
E0153,P0165,P0019,vehicle_shared,0.519,2025-11-25,45
E0154,P0033,P0200,social_connection,0.676,2024-01-08,17
E0155,P0111,P0129,known_associate,0.15,2023-09-12,67
E0156,P0040,P0078,financial_transfer,0.246,2024-04-06,45
E0157,P0133,P0073,known_associate,0.171,2024-02-07,71
E0158,P0071,P0033,family,0.373,2025-12-28,12
E0159,P0129,P0165,financial_transfer,0.633,2026-04-04,20
E0160,P0044,P0169,social_connection,0.749,2024-11-22,73
E0161,P0011,P0008,phone_contact,0.141,2026-03-27,34
E0162,P0167,P0054,known_associate,0.615,2023-03-04,64
E0163,P0161,P0140,co_location,0.678,2024-09-10,62
E0164,P0063,P0176,vehicle_shared,0.368,2023-05-30,8
E0165,P0041,P0113,vehicle_shared,0.536,2024-02-22,44
E0167,P0081,P0184,co_location,0.761,2024-12-08,52
E0168,P0034,P0195,co_location,0.563,2023-08-06,41
E0169,P0062,P0120,phone_contact,0.341,2024-05-22,19
E0170,P0025,P0013,co_location,0.951,2025-05-06,32
E0171,P0041,P0084,social_connection,0.749,2024-01-24,21
E0172,P0128,P0132,vehicle_shared,0.549,2024-09-23,64
E0173,P0006,P0024,vehicle_shared,0.555,2024-05-08,28
E0174,P0150,P0091,phone_contact,0.145,2025-10-10,77
E0175,P0168,P0173,vehicle_shared,0.357,2023-01-17,14
E0176,P0111,P0035,co_location,0.755,2025-04-05,47
E0177,P0012,P0103,phone_contact,0.613,2024-02-03,47
E0178,P0142,P0074,phone_contact,0.448,2025-07-11,71
E0179,P0072,P0160,family,0.65,2023-09-21,13
E0180,P0101,P0096,known_associate,0.988,2026-02-16,47
E0181,P0194,P0037,financial_transfer,0.642,2025-04-02,65
E0182,P0011,P0012,phone_contact,0.223,2024-11-13,61
E0183,P0133,P0117,financial_transfer,0.646,2025-11-21,18
E0184,P0084,P0157,co_location,0.246,2024-09-04,76
E0185,P0087,P0130,known_associate,0.559,2025-09-30,73
E0186,P0077,P0122,known_associate,0.115,2024-11-09,15
E0187,P0107,P0150,co_location,0.817,2023-02-24,77
E0188,P0122,P0068,family,0.805,2026-03-30,74
E0189,P0059,P0185,phone_contact,0.625,2023-12-16,68
E0190,P0162,P0185,social_connection,0.797,2025-02-17,19
E0191,P0175,P0063,phone_contact,0.615,2023-08-14,25
E0192,P0005,P0113,co_location,0.477,2025-04-25,27
E0193,P0106,P0129,known_associate,0.65,2025-08-23,8
E0194,P0181,P0036,social_connection,0.287,2024-10-27,62
E0195,P0135,P0097,co_location,0.961,2025-07-30,69
E0196,P0088,P0140,co_location,0.708,2024-06-25,79
E0197,P0124,P0050,financial_transfer,0.351,2024-09-03,29
E0198,P0077,P0198,co_location,0.734,2025-09-28,41
E0199,P0123,P0090,social_connection,0.94,2024-07-14,37
E0200,P0032,P0147,family,0.589,2025-03-19,45
E0201,P0198,P0038,co_location,0.138,2023-06-11,45
E0202,P0114,P0168,co_location,0.773,2024-03-14,26
E0203,P0138,P0070,social_connection,0.727,2023-10-09,14
E0204,P0158,P0190,social_connection,0.315,2023-04-14,68
E0205,P0058,P0164,financial_transfer,0.147,2025-04-26,43
E0206,P0184,P0121,phone_contact,0.713,2023-10-09,1
E0207,P0141,P0041,vehicle_shared,0.688,2025-09-01,62
E0208,P0167,P0052,known_associate,0.968,2024-10-19,37
E0209,P0166,P0016,known_associate,0.181,2026-03-21,30
E0210,P0137,P0190,family,0.865,2023-03-18,23
E0211,P0107,P0046,phone_contact,0.997,2025-03-24,64
E0212,P0048,P0192,known_associate,0.933,2023-03-18,2
E0213,P0077,P0146,social_connection,0.197,2024-11-17,37
E0214,P0117,P0165,social_connection,0.572,2023-10-02,65
E0215,P0120,P0070,financial_transfer,0.828,2024-11-08,21
E0216,P0188,P0118,family,0.332,2024-01-17,2
E0217,P0189,P0087,known_associate,0.366,2024-01-31,23
E0218,P0157,P0164,vehicle_shared,0.844,2025-11-21,42
E0219,P0023,P0103,family,0.186,2023-10-15,62
E0220,P0083,P0064,phone_contact,0.335,2024-04-27,58
E0221,P0193,P0069,co_location,0.372,2026-03-19,2
E0222,P0067,P0168,co_location,0.723,2023-05-08,16
E0223,P0120,P0079,financial_transfer,0.465,2025-10-26,40
E0224,P0177,P0031,family,0.925,2024-08-27,48
E0225,P0158,P0057,financial_transfer,0.962,2025-09-06,20
E0226,P0117,P0192,social_connection,0.436,2026-01-29,61
E0227,P0194,P0138,known_associate,0.698,2024-03-23,32
E0228,P0175,P0194,social_connection,0.886,2023-06-17,68
E0229,P0115,P0136,family,0.426,2026-03-01,15
E0230,P0016,P0141,social_connection,0.282,2026-01-04,20
E0231,P0043,P0084,known_associate,0.568,2023-08-27,27
E0232,P0184,P0150,vehicle_shared,0.182,2025-11-11,58
E0233,P0015,P0117,financial_transfer,0.562,2025-07-24,73
E0234,P0015,P0144,vehicle_shared,0.705,2024-09-23,3
E0235,P0102,P0066,known_associate,0.103,2024-03-22,75
E0236,P0019,P0012,vehicle_shared,0.41,2023-05-11,70
E0237,P0016,P0018,vehicle_shared,0.129,2025-04-17,24
E0238,P0197,P0035,known_associate,0.677,2025-05-10,48
E0239,P0098,P0115,known_associate,0.925,2025-02-12,49
E0240,P0021,P0175,family,0.887,2023-09-30,45
E0241,P0031,P0046,social_connection,0.454,2023-09-18,29
E0242,P0001,P0194,phone_contact,0.981,2025-08-06,70
E0243,P0109,P0137,vehicle_shared,0.841,2024-05-21,59
E0244,P0089,P0040,co_location,0.27,2023-08-20,5
E0245,P0170,P0108,social_connection,0.789,2023-02-02,31
E0246,P0053,P0018,phone_contact,0.635,2025-07-03,77
E0247,P0173,P0181,known_associate,0.144,2023-04-01,52
E0248,P0113,P0060,social_connection,0.296,2023-04-26,18
E0249,P0129,P0075,financial_transfer,0.834,2026-03-25,41
E0250,P0148,P0154,known_associate,0.705,2024-10-18,31
E0251,P0078,P0037,family,0.569,2025-04-26,39
E0252,P0071,P0016,social_connection,0.954,2023-12-25,55
E0253,P0143,P0127,phone_contact,0.975,2025-02-19,68
E0254,P0082,P0179,vehicle_shared,0.467,2024-09-06,49
E0255,P0048,P0194,social_connection,0.526,2024-04-06,39
E0256,P0182,P0037,known_associate,0.517,2023-04-29,72
E0257,P0106,P0107,social_connection,0.577,2025-03-06,32
E0258,P0066,P0053,co_location,0.682,2025-07-10,48
E0259,P0024,P0138,family,0.846,2023-04-16,35
E0260,P0097,P0173,social_connection,0.643,2023-05-30,25
E0261,P0195,P0151,family,0.704,2024-03-20,62
E0262,P0054,P0086,co_location,0.961,2023-02-01,28
E0263,P0049,P0190,phone_contact,0.772,2025-09-07,32
E0264,P0179,P0155,family,0.284,2024-05-05,71
E0265,P0083,P0199,co_location,0.443,2025-12-28,46
E0266,P0079,P0067,co_location,0.562,2025-10-15,60
E0267,P0026,P0185,vehicle_shared,0.785,2024-10-17,27
E0268,P0095,P0081,vehicle_shared,0.141,2024-03-29,19
E0269,P0005,P0067,social_connection,0.941,2026-04-01,54
E0270,P0076,P0040,financial_transfer,0.397,2025-02-16,73
E0271,P0063,P0128,social_connection,0.689,2024-11-22,33
E0272,P0196,P0126,family,0.678,2025-10-01,59
E0273,P0044,P0188,known_associate,0.417,2023-10-14,70
E0274,P0126,P0048,social_connection,0.991,2023-05-01,68
E0275,P0009,P0020,known_associate,0.701,2023-01-14,53
E0276,P0036,P0162,financial_transfer,0.161,2023-11-06,2
E0277,P0056,P0130,vehicle_shared,0.436,2025-09-16,63
E0278,P0005,P0002,social_connection,0.596,2023-01-25,3
E0279,P0136,P0185,co_location,0.582,2024-08-10,3
E0280,P0129,P0179,family,0.488,2024-01-03,14
E0281,P0025,P0135,financial_transfer,0.317,2025-12-14,33
E0282,P0091,P0069,known_associate,0.457,2025-02-03,52
E0283,P0118,P0145,financial_transfer,0.991,2024-04-07,39
E0284,P0176,P0021,family,0.993,2023-03-06,12
E0285,P0104,P0098,vehicle_shared,0.597,2023-04-25,2
E0286,P0180,P0044,phone_contact,0.55,2025-06-07,43
E0287,P0145,P0025,social_connection,0.927,2024-04-15,28
E0288,P0178,P0146,vehicle_shared,0.344,2023-06-02,36
E0289,P0140,P0145,family,0.13,2024-10-06,3
E0290,P0054,P0151,financial_transfer,0.777,2025-03-26,10
E0291,P0077,P0042,social_connection,0.316,2025-03-07,70
E0292,P0085,P0099,known_associate,0.766,2023-06-10,65
E0293,P0191,P0089,phone_contact,0.188,2024-04-20,10
E0294,P0088,P0155,known_associate,0.652,2025-03-23,42
E0295,P0008,P0163,co_location,0.805,2025-07-11,63
E0296,P0059,P0092,social_connection,0.947,2025-06-03,24
E0297,P0175,P0150,family,0.442,2024-08-27,32
E0298,P0183,P0019,phone_contact,0.341,2025-02-17,20
E0299,P0190,P0100,co_location,0.425,2023-07-07,1
E0300,P0079,P0114,co_location,0.785,2023-07-29,17
E0301,P0023,P0048,vehicle_shared,0.504,2026-02-10,66
E0302,P0105,P0027,phone_contact,0.181,2026-02-09,12
E0303,P0153,P0154,known_associate,0.392,2025-02-27,2
E0304,P0075,P0106,vehicle_shared,0.801,2026-02-19,32
E0305,P0147,P0134,financial_transfer,0.717,2023-12-14,18
E0306,P0069,P0078,co_location,0.544,2023-05-10,22
E0308,P0108,P0077,vehicle_shared,0.804,2025-01-09,33
E0309,P0064,P0185,family,0.546,2024-02-05,59
E0310,P0028,P0035,co_location,0.106,2025-03-21,43
E0311,P0159,P0098,known_associate,0.876,2025-06-20,43
E0312,P0111,P0167,social_connection,0.223,2024-10-18,78
E0313,P0178,P0052,vehicle_shared,0.383,2025-03-26,41
E0314,P0075,P0189,family,0.67,2026-03-25,32
E0315,P0084,P0097,co_location,0.835,2025-03-15,47
E0316,P0030,P0145,financial_transfer,0.633,2026-01-22,24
E0317,P0175,P0197,social_connection,0.124,2025-08-03,27
E0318,P0113,P0075,known_associate,0.724,2025-04-17,64
E0319,P0036,P0163,co_location,0.318,2023-11-12,55
E0320,P0097,P0019,vehicle_shared,0.992,2025-09-08,75
E0321,P0103,P0137,social_connection,0.931,2025-05-06,70
E0322,P0010,P0093,family,0.906,2026-01-04,77
E0323,P0164,P0022,phone_contact,0.792,2024-12-28,22
E0324,P0166,P0157,phone_contact,0.607,2025-03-29,43
E0325,P0111,P0028,phone_contact,0.189,2024-03-30,66
E0326,P0192,P0133,social_connection,0.622,2026-03-24,29
E0327,P0115,P0096,vehicle_shared,0.517,2025-10-21,20
E0328,P0089,P0007,vehicle_shared,0.194,2025-05-01,11
E0329,P0030,P0187,financial_transfer,0.413,2024-12-03,59
E0330,P0053,P0134,vehicle_shared,0.413,2023-07-19,57
E0331,P0185,P0179,vehicle_shared,0.387,2024-09-06,6
E0332,P0182,P0030,phone_contact,0.864,2023-08-12,22
E0333,P0190,P0063,social_connection,0.257,2023-11-24,43
E0335,P0119,P0060,known_associate,0.465,2024-01-13,24
E0336,P0164,P0169,vehicle_shared,0.456,2024-02-09,58
E0337,P0152,P0110,vehicle_shared,0.104,2024-03-15,27
E0338,P0072,P0193,family,0.828,2023-05-09,74
E0339,P0027,P0138,financial_transfer,0.429,2024-02-08,59
E0340,P0030,P0068,family,0.876,2025-12-16,41
E0341,P0153,P0100,social_connection,0.453,2023-08-22,45
E0342,P0091,P0118,social_connection,0.255,2024-09-01,79
E0343,P0152,P0022,family,0.221,2023-08-30,31
E0344,P0079,P0030,financial_transfer,0.436,2023-10-17,66
E0345,P0100,P0108,social_connection,0.224,2025-02-24,55
E0346,P0048,P0125,family,0.584,2023-12-21,72
E0347,P0043,P0126,co_location,0.226,2024-10-06,58
E0348,P0159,P0014,known_associate,0.423,2023-01-20,63
E0349,P0035,P0050,known_associate,0.446,2026-02-24,65
E0350,P0168,P0127,vehicle_shared,0.716,2025-05-01,57
E0352,P0022,P0145,phone_contact,0.816,2024-03-27,38
E0353,P0009,P0071,financial_transfer,0.584,2023-12-11,59
E0354,P0145,P0191,known_associate,0.789,2026-01-30,66
E0355,P0029,P0147,phone_contact,0.341,2026-01-17,47
E0356,P0139,P0194,phone_contact,0.784,2025-06-22,70
E0357,P0056,P0109,phone_contact,0.762,2024-05-21,39
E0358,P0009,P0116,co_location,0.414,2023-06-28,57
E0359,P0031,P0199,known_associate,0.313,2024-12-19,79
E0360,P0162,P0110,financial_transfer,0.655,2024-02-28,27
E0361,P0016,P0146,co_location,0.579,2026-01-08,22
E0362,P0083,P0181,co_location,0.36,2024-07-01,66
E0363,P0174,P0025,financial_transfer,0.966,2025-04-22,8
E0364,P0071,P0168,financial_transfer,0.731,2023-09-29,32
E0365,P0038,P0183,co_location,0.846,2025-03-15,63
E0366,P0037,P0148,family,0.342,2025-04-28,49
E0367,P0116,P0020,family,0.815,2023-07-10,52
E0368,P0132,P0192,co_location,0.725,2025-01-25,59
E0369,P0125,P0084,social_connection,0.102,2023-07-10,59
E0370,P0163,P0171,family,0.422,2023-05-10,69
E0371,P0102,P0056,vehicle_shared,0.842,2025-10-10,35
E0372,P0083,P0073,co_location,0.593,2023-09-25,73
E0373,P0125,P0088,family,0.786,2023-04-05,13
E0374,P0161,P0118,phone_contact,0.212,2023-11-20,57
E0375,P0117,P0001,vehicle_shared,0.282,2023-09-28,39
E0376,P0041,P0071,phone_contact,0.689,2024-05-27,11
E0377,P0096,P0171,family,0.249,2025-03-22,40
E0378,P0186,P0180,known_associate,0.311,2023-07-06,13
E0379,P0001,P0055,vehicle_shared,0.17,2024-04-08,67
E0380,P0175,P0114,phone_contact,0.107,2024-12-04,16
E0381,P0109,P0178,financial_transfer,0.53,2024-04-13,50
E0382,P0023,P0188,known_associate,0.192,2024-10-03,48
E0383,P0077,P0036,vehicle_shared,0.796,2023-09-30,19
E0384,P0018,P0136,social_connection,0.108,2023-12-03,57
E0385,P0090,P0185,financial_transfer,0.665,2023-11-07,53
E0386,P0158,P0176,vehicle_shared,0.874,2023-
