case_id,crime_type,date,location,status,severity,primary_suspect_id,linked_person_count
C0095,Burglary,2025-02-20,Delhi,Under_Investigation,High,P0175,1
C0096,Burglary,2025-11-19,Pune,Under_Investigation,Critical,P0007,3
C0097,Extortion,2024-01-30,Jaipur,Closed,Low,P0076,1
C0098,Drug_Trafficking,2026-01-06,Pune,Open,Low,P0043,1
C0099,Drug_Trafficking,2024-03-12,Kolkata,Under_Investigation,Low,P0172,2
C0100,Extortion,2025-06-10,Kolkata,Open,Medium,P0138,2
C0101,Extortion,2024-11-10,Delhi,Open,Low,P0118,1
C0102,Drug_Trafficking,2024-05-30,Pune,Open,Medium,P0046,1
C0103,Extortion,2025-04-08,Lucknow,Under_Investigation,Low,P0105,3
C0104,Extortion,2023-05-10,Kolkata,Closed,Low,P0173,4
C0105,Cybercrime,2023-08-06,Jaipur,Closed,High,P0092,1
C0106,Drug_Trafficking,2025-06-15,Lucknow,Under_Investigation,Low,P0073,1
C0107,Extortion,2025-03-11,Pune,Under_Investigation,Medium,P0041,4
C0108,Burglary,2023-01-23,Pune,Closed,Medium,P0174,3
C0109,Robbery,2026-03-18,Pune,Under_Investigation,Low,P0011,1
C0110,Extortion,2024-12-05,Mumbai,Under_Investigation,Medium,P0054,3
C0111,Cybercrime,2024-06-01,Mumbai,Open,Medium,P0048,2
C0112,Cybercrime,2025-08-02,Kolkata,Closed,Low,P0193,1
C0113,Robbery,2024-02-09,Kolkata,Closed,Critical,P0172,3
C0114,Extortion,2024-04-25,Delhi,Under_Investigation,Low,P0092,3
C0115,Vehicle_Theft,2024-11-03,Pune,Closed,High,P0082,2
C0116,Burglary,2024-10-09,Lucknow,Open,Low,P0145,2
C0117,Extortion,2025-06-12,Jaipur,Under_Investigation,Medium,P0064,3
C0118,Burglary,2024-09-17,Lucknow,Closed,Low,P0123,3
C0119,Robbery,2024-07-28,Mumbai,Closed,Medium,P0166,2
C0120,Extortion,2023-06-04,Delhi,Closed,Low,P0188,3
C0121,Cybercrime,2024-06-17,Pune,Closed,Critical,P0197,4
C0122,Fraud,2024-08-18,Mumbai,Under_Investigation,Low,P0094,2
C0123,Fraud,2023-12-06,Pune,Open,Critical,P0094,4
C0124,Cybercrime,2023-10-27,Kolkata,Closed,Critical,P0046,2
C0125,Vehicle_Theft,2024-04-19,Delhi,Under_Investigation,High,P0011,3
C0126,Fraud,2025-11-26,Jaipur,Under_Investigation,Critical,P0011,2
C0127,Robbery,2025-12-03,Kolkata,Under_Investigation,High,P0012,4
C0128,Vehicle_Theft,2025-01-18,Pune,Closed,Low,P0097,2
C0129,Vehicle_Theft,2024-12-23,Jaipur,Under_Investigation,Critical,P0097,3
C0130,Fraud,2025-06-19,Mumbai,Open,Low,P0129,1
C0131,Fraud,2025-01-11,Pune,Closed,Low,P0055,3
C0132,Extortion,2023-08-21,Lucknow,Closed,Critical,P0107,2
C0133,Drug_Trafficking,2025-04-21,Delhi,Open,Low,P0054,4
C0134,Fraud,2023-10-03,Kolkata,Closed,Low,P0147,2
C0135,Burglary,2024-01-04,Pune,Under_Investigation,Low,P0015,2
C0136,Cybercrime,2025-08-23,Lucknow,Open,Medium,P0022,3
C0137,Fraud,2025-11-12,Jaipur,Open,High,P0154,4
C0138,Vehicle_Theft,2025-02-28,Mumbai,Open,Low,P0153,4
C0139,Extortion,2025-05-09,Mumbai,Closed,Low,P0134,2
C0140,Cybercrime,2023-03-21,Pune,Closed,Low,P0122,2
C0141,Extortion,2023-09-24,Pune,Closed,Low,P0124,1
C0142,Extortion,2025-12-21,Lucknow,Open,Critical,P0134,4
C0143,Drug_Trafficking,2026-03-25,Delhi,Under_Investigation,Medium,P0090,4
C0144,Drug_Trafficking,2023-06-21,Jaipur,Closed,Critical,P0123,3
C0145,Extortion,2023-01-15,Pune,Closed,Low,P0049,3
C0146,Extortion,2024-02-25,Kolkata,Under_Investigation,Critical,P0097,1
C0147,Extortion,2026-04-13,Jaipur,Under_Investigation,Critical,P0028,3
C0148,Vehicle_Theft,2024-02-22,Lucknow,Closed,Critical,P0157,3
C0149,Cybercrime,2025-09-17,Jaipur,Under_Investigation,High,P0095,2
C0150,Extortion,2024-04-15,Lucknow,Closed,Medium,P0189,4
